자동 생성 STT 원문 — 미검증 · 편집하지 않음

video_id       full_xekZO4n4QuE
STT 모델       large-v3 (lang ko · beam 5)
source         stt_cache.json · utterances (필터 이전 원본)
sha256         59c98df1e0ea18e93623074a538b63b91794a8fca686e68a345c85dfc1c1a90d
규모           발화 437

------------------------------------------------------------------------

00:00:23.0 → 00:00:24.9  아이스크림 완성!
00:00:24.9 → 00:00:25.9  자막에 사용하여 수정된 아이스크림을uxe Jonathan
00:00:25.9 → 00:00:26.3  세팅하기
00:00:26.3 → 00:00:31.2  그릇만 젖는 것처럼
00:00:41.9 → 00:00:44.7  따뜻한 아이스크림과
00:00:44.7 → 00:00:46.0  제가 좋아하는 아이스크림을
00:00:46.0 → 00:00:46.3  1개에 40,000원 정도
00:00:46.3 → 00:00:47.1  사먹을 준비
00:00:57.2 → 00:00:58.6  icular
00:00:59.5 → 00:01:01.2  볶고
00:01:03.0 → 00:01:04.4  양파
00:01:04.4 → 00:01:04.6  양파
00:01:04.6 → 00:01:15.5  이생 pierws 시킬 드디어
00:01:15.5 → 00:01:17.3  ś
00:01:46.3 → 00:01:47.7  계란후라이
00:01:51.8 → 00:01:53.2  계란후라이
00:02:03.7 → 00:02:05.1  계란후라이
00:02:08.2 → 00:02:11.0  물 1큰술
00:02:11.0 → 00:02:12.1  다진마늘 1큰술
00:02:12.1 → 00:02:15.0  소금 1큰술
00:02:15.0 → 00:02:22.7  설탕 1큰술
00:02:29.0 → 00:02:31.8  설탕 1큰술
00:02:31.8 → 00:02:34.9  설탕 1큰술
00:02:43.6 → 00:02:45.9  설탕 1스푼
00:02:48.6 → 00:02:50.5  참기름 1스푼
00:02:50.5 → 00:02:51.8  소금 1스푼
00:02:51.8 → 00:02:54.4  고추장 1스푼
00:02:54.4 → 00:02:57.3  후추 1스푼
00:02:57.3 → 00:02:59.6  고춧가루 2스푼
00:02:59.6 → 00:03:01.6  양념장 3스푼
00:03:01.6 → 00:03:02.9  그리고 이제 밥을 준비해주세요
00:03:02.9 → 00:03:11.0  밥을 전부 넣어주세요
00:03:14.1 → 00:03:16.3  두개 Navigate
00:03:16.3 → 00:03:17.1  이 날은 하루안에 그녀의 입술을 살려준다.
00:03:18.3 → 00:03:22.4  그녀는 그를 꿈틀고, 그녀는 그를 passionate으로 사랑합니다.
00:03:22.7 → 00:03:24.0  그녀는 그를 사랑합니다.
00:03:26.9 → 00:03:30.5  단호박이 빠지면 조금만 더 넣어주고
00:03:33.7 → 00:03:35.1  간장
00:03:35.1 → 00:03:36.5  간장
00:03:36.5 → 00:03:37.2  다진마늘
00:03:39.9 → 00:03:41.3  참기름
00:03:41.3 → 00:03:42.4  다진마늘
00:03:45.8 → 00:03:47.2  다진마늘
00:03:55.4 → 00:03:56.8  반쯤
00:03:56.8 → 00:03:56.8  소금
00:04:41.3 → 00:04:44.1  민트 초콜릿
00:04:44.5 → 00:04:47.3  고추장에 버섯을 넣어서
00:04:47.3 → 00:04:48.6  가득 넣어주고
00:04:50.6 → 00:04:50.7  참깨
00:04:50.7 → 00:04:52.0  참기름
00:05:12.3 → 00:05:16.4  어떤 마시멜로우가 나오는지 확인할게요
00:05:16.4 → 00:05:17.6  하얀색은...
00:05:17.6 → 00:05:17.6  탈락
00:05:17.6 → 00:05:18.0  하얀색은...
00:05:24.5 → 00:05:25.9  탈락
00:05:25.9 → 00:05:27.0  탈락
00:05:27.0 → 00:05:27.6  탈락
00:05:29.1 → 00:05:30.5  탈락
00:05:37.0 → 00:05:37.4  탈락
00:05:38.7 → 00:05:42.2  오늘의 메뉴는 고추튀김입니다.
00:05:48.6 → 00:05:48.7  고추튀김
00:05:50.0 → 00:05:51.4  고추튀김
00:05:51.4 → 00:05:52.8  고추튀김
00:05:52.8 → 00:05:53.7  고추튀김
00:05:53.7 → 00:05:54.5  고추튀김
00:05:54.5 → 00:05:54.9  고추튀김
00:05:54.9 → 00:05:56.5  고추튀김
00:06:13.6 → 00:06:14.0  콩나물
00:06:15.0 → 00:06:15.4  소금
00:06:15.4 → 00:06:15.4  후추
00:06:15.4 → 00:06:15.4  다진 마늘
00:06:15.4 → 00:06:15.7  설탕
00:06:15.7 → 00:06:15.7  다진 마늘
00:06:18.0 → 00:06:18.4  소금
00:06:18.4 → 00:06:19.4  다진 마늘
00:06:19.4 → 00:06:19.4  다진 마늘
00:06:22.8 → 00:06:23.4  새우젓
